Nhosts;FreqImmH1;FreqImmH2;FreqImmH3;FreqImmH4;FreqImmH5;FreqImmH6;FreqInfH1;FreqInfH2;FreqInfH3;FreqInfH4;FreqInfH5;FreqInfH6;Nparasits;FreqImmP1;FreqImmP2;FreqImmP3;FreqImmP4;FreqImmP5;FreqImmP6;FreqInfP1;FreqInfP2;FreqInfP3;FreqInfP4;FreqInfP5;FreqInfP6
48.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.5;40.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
108.0;0.027777777777777776;0.16203703703703703;0.09259259259259259;0.023148148148148147;0.39351851851851855;0.30092592592592593;0.08796296296296297;0.38425925925925924;0.1574074074074074;0.023148148148148147;0.3472222222222222;0.0;93.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8414634146341463;0.15853658536585366;0.0;0.0;0.0
103.0;0.019417475728155338;0.1553398058252427;0.08737864077669903;0.038834951456310676;0.3786407766990291;0.32038834951456313;0.07766990291262135;0.3592233009708738;0.18446601941747573;0.014563106796116505;0.3640776699029126;0.0;89.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7126436781609196;0.28735632183908044;0.0;0.0;0.0
107.0;0.014018691588785047;0.1308411214953271;0.08878504672897196;0.02336448598130841;0.411214953271028;0.3317757009345794;0.0794392523364486;0.37383177570093457;0.16822429906542055;0.014018691588785047;0.3644859813084112;0.0;85.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8588235294117647;0.1411764705882353;0.0;0.0;0.0
98.0;0.02040816326530612;0.1326530612244898;0.08673469387755102;0.02040816326530612;0.37244897959183676;0.3673469387755102;0.09183673469387756;0.3826530612244898;0.17857142857142858;0.015306122448979591;0.33163265306122447;0.0;85.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8559322033898306;0.1440677966101695;0.0;0.0;0.0
88.0;0.028409090909090908;0.13636363636363635;0.07386363636363637;0.017045454545454544;0.3693181818181818;0.375;0.09090909090909091;0.3693181818181818;0.18181818181818182;0.011363636363636364;0.3465909090909091;0.0;70.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8641975308641975;0.13580246913580246;0.0;0.0;0.0
93.0;0.03225806451612903;0.13978494623655913;0.06989247311827956;0.005376344086021506;0.42473118279569894;0.3279569892473118;0.10215053763440861;0.3548387096774194;0.16129032258064516;0.021505376344086023;0.3602150537634409;0.0;73.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.7323943661971831;0.2676056338028169;0.0;0.0;0.0
102.0;0.0392156862745098;0.12745098039215685;0.08823529411764706;0.004901960784313725;0.4362745098039216;0.30392156862745096;0.08823529411764706;0.38235294117647056;0.1568627450980392;0.024509803921568627;0.3431372549019608;0.004901960784313725;76.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8076923076923077;0.19230769230769232;0.0;0.0;0.0
106.0;0.0330188679245283;0.1792452830188679;0.09433962264150944;0.0047169811320754715;0.419811320754717;0.2688679245283019;0.07547169811320754;0.3632075471698113;0.1650943396226415;0.02358490566037736;0.37264150943396224;0.0;79.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8354430379746836;0.16455696202531644;0.0;0.0;0.0
98.0;0.030612244897959183;0.1683673469387755;0.09693877551020408;0.00510204081632653;0.44387755102040816;0.25510204081632654;0.07142857142857142;0.3622448979591837;0.17346938775510204;0.04081632653061224;0.3520408163265306;0.0;85.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9479166666666666;0.052083333333333336;0.0;0.0;0.0
